name,types,date
我的女友是机器人,爱情，喜剧,2020-09-11中国大陆上映
我在时间尽头等你,爱情，奇幻，喜剧,2020-08-25 10:00中国大陆上映
八佰,剧情，战争，历史,2020-08-21 09:00中国大陆上映
花木兰,剧情，冒险,2020-09-11中国大陆上映
蓝色防线,纪录片，战争，历史,2020-09-18中国大陆上映
信条,科幻，动作，剧情,2020-09-04中国大陆上映
荞麦疯长,剧情，爱情,2020-08-25中国大陆上映
夺冠,剧情,2020-09-25 18:00中国大陆上映
麦路人,剧情,2020-09-17中国大陆上映
小妇人,爱情，剧情,2020-08-25中国大陆上映
姜子牙,动画，动作，冒险,2020-10-01 08:00中国大陆上映
我和我的家乡,剧情，喜剧,2020-10-01 08:00中国大陆上映
夺冠,剧情,2020-09-25中国大陆上映
我在时间尽头等你,爱情，奇幻，喜剧,2020-08-25 10:00中国大陆上映
八佰,剧情，战争，历史,2020-08-21 09:00中国大陆上映
急先锋,动作，冒险，喜剧,2020-09-30 10:00中国大陆上映
花木兰,剧情，冒险,2020-09-11中国大陆上映
信条,科幻，动作，剧情,2020-09-04中国大陆上映
蓝色防线,纪录片，战争，历史,2020-09-18中国大陆上映
一点就到家,青春,2020-10-04 08:00中国大陆上映
